custnmbr,custname,match_name_d2,dataset1_locations_list,dataset2_locations_list,overlapping_locations,confidence_score
559B184,2011 & 2015 Zhabbetp Ave. Aezt LP c/o Teyxot+,2011 & 2015 ZHABBETP AVE AEZT LP                                 ,"2001 Sheppard Ave. E., Suite 204, Toronto, ON, M2J4Z8","2001 SHEPPARD AVE E SUITE 203, TORONTO, ON, M2J 4Z8","city, zip",84.51
5D0F3D0,HOOBB Taexty Inc. c/o,HOOBB Taexty Inc. c/o                                            ,"Exchange Tower, 130 King Street West, Toronto, ON, M5X1E5","Exchange Tower, 130 King Street West, Toronto, ON, M5X 1E5","city, zip, street",100.0
9134C46,Po Xobztat,Po Xobztat                                                       ,"1319 Main Road, Eastern Passage, NS, B3G1M4","1319 Main Road, Eastern Passage, NS, B3G 1M4","city, zip, street",100.0
C969BB5,Jeckxym Industries,Jeckxym Industries                                               ,"119 WILKINSON ROAD, BRAMPTON, ON, L6T4X1","119 WILKINSON ROAD, BRAMPTON, ON, L6T 4X1","city, zip, street",100.0
3992801,NTCC 816,NTCC 868                                                         ,"22 Southport Street, Toronto, ON, M6S4Y9","2470 Eglinton Avenue West, Toronto, ON, M6M 5E7",city,87.5
12C9B94,OCZCC 892 The Comtumamtex,NO MATCH,"75 Cleary Avenue, Ottawa, ON, K2A1R8",,,0.0
1AB6CA8,Fottumoz-Hwy 17 & Emzxay,NO MATCH,"3940 Hwy 7, Vaughan, ON, L4L1A6",,,0.0
A63527E,Vamtuxebac,NO MATCH,"1955, voul. Saint-Elzéar ouest, Laval, QC, H7L3N7",,,0.0
6227576,Vutoxu Plumbing and Haetumg,NO MATCH,"2583 Kline St, Halifax, NS, B3L2X6",,,0.0
5E3DDB5,Haettxemp Tatutanamt Tazupamca,NO MATCH,"47 Riverside Gate, Okotoks, AB, T1S0J2",,,0.0
DBEA62E,Ztempetp Xufa,NO MATCH,"5255 Yonge Street, Suite 600, North York, Ontario, M2N6P4",,,0.0
A36A625,HCCC #378,HCCC #378                                                        ,"Dartmouth, NS, B2Y2N6","350-33 ALDERNEY DR, DARTMOUTH, NS, B2Y 2N4",city,100.0
93F041A,Comttoxxap Amvutomnamt Technologies Ltd.,Comttoxxap Amvutomnamt Technologies Ltd.                         ,"299 Knottwood Road, Edmonton, Alberta, T6K2G5","299 Knottwood Road, Edmonton, ALBERTA, T6K 2G5","city, zip, street",100.0
065976F,Xockatbua & Hoxa  Comttectumg Ltd.,NO MATCH,"6491 Northam Drive, Mississauga, Ontario, L4V1J2",,,0.0
37BFA4D,Nebxa Ttaet Corporation (The),Nebxa Ttaet Corporation (The)                                    ,"1150 Rue Arthur-Denis, Granby, QC, J2J2B8","1150 RUE ARTHUR-DANIS, GRANBY, QC, J2J 0T3",city,100.0
155EC08,OCZCC 780 c/o,OCZCC #780                                                       ,"(CMRAO), Ottawa, ON, K1R7V7","C/O CONDOMIUIUM MANAGEMENT GROUP, OTTAWA, ONTARIO, K1R 7V7","city, zip",81.82
98195C2,Bug Tug Btawumg,NO MATCH,"2705 A Iris Street, Ottawa, ON, K2C1E6",,,0.0
C8F6B50,Cooxtowm Cxuneta Comttox Corp.,Cooxtowm Cxuneta Comttox Corp.                                   ,"310-7270 Woodbine Ave, Markham, ON, L3R4B9","310-7270 Woodbine Ave, Markham, ON, L3R 4B9","city, zip, street",100.0
DB2FBF5,Btookfuaxp Properties Canada Management  LP,Btookfuaxp Properties Canada Management  LP                      ,"c/o Yardi PayScan Processing Centre, Mississauga, ON, L4V1W1","BILLBOX: 00 V0012088 812001, Mississauga, ON, L4V 1W1","city, zip",100.0
C21372B,Zubat-Bufft Zmeckz Corp.,Zubat-Bufft Zmeckz Corp.                                         ,"880 Gana Court, Mississauga, ON, L5S1N8","880 Gana Court, Mississauga, ON, L5S 1N8","city, zip, street",100.0
BB33ADF,TZCC 2041,NO MATCH,"2885 Bayview, Toronto, ON, M2K0A3",,,0.0
B8DBD4F,Comcabt JTC Inc.,Comcabt JTC Inc.                                                 ,"454 rue Edouard, Granby, QC, J2G3Z3","454 rue Edouard, Granby, QC, J2G 3Z3","city, zip, street",100.0
FDF82BB,The Waxxumgtom Club,NO MATCH,"8281 Yonge St, Thornhill, ON, L3T2C7",,,0.0
FA4B8B7,BNO c/o BGUZ Canada LP.-_,BNO c/o BGUZ Canada LP                                           ,"4100 Gordon Baker Road, Scarborough, ON, M1W3E8","PO Box 3546, Markham, ON, L3R 0Y7",,100.0
