custnmbr,custname,match_name_d2,dataset1_locations_list,dataset2_locations_list,overlapping_locations,confidence_score
0783D77,Hatutega Court Holdings,Hatutega Court Holdings                                          ,"P.O. Box 887, Moncton, NB, E1C8N8","P.O. Box 887, Moncton, NB, E1C 8N8","city, zip, street",100.0
7EBFE5D,Etxemtuc Technology Center,Etxemtuc Technology Center                                       ,"176 Great George St, Charlottetown, PE, C1A4K9","176 Great George St, Charlottetown, PE, C1A 4K9","city, zip, street",100.0
A717A0A,X.J. Bettom Mechanical Inc.,X J BETTOM MECHANICAL INC                                        ,"1341 Osprey Drive, Unit 4, Ancaster, ON, L9G4V5","1341 OSPREY DRIVE, ANCASTER, ONTARIO, L9G 4V5","city, zip, street",100.0
4C92EC7,VUE Teux c/o Eumzwotth Facility Service Pazk,VUE Teux c/o Eumzwotth Facility Service Pazk                     ,"69 Auriga Drive, Ottawa, ON, K2E7Z2","69 Auriga Drive, Ottawa, ON, K2E 7Z2","city, zip, street",100.0
774FFF5,Haetumg Bxuz,NO MATCH,"2745 Park Street, Regina, SK, S4N2A4",,,0.0
2E71F7D,TZCC 1851,NO MATCH,"12 Rean Dr., Toronto, ON, M2K3C6",,city,0.0
8C71929,Buxa O'Bomaz Btawumg Company,NO MATCH,"1808 Cameron Street, Regina, SK, S4P7R7",,,0.0
2C3FB77,Cxypa Street Developments Ltd.,Cxypa Street Developments Ltd.                                   ,"1 Craigmore Dr. Suite 201, Halifax, NS, B3N0C6","1 Craigmore Dr. Suite 201, Halifax, NS, B3N 0C6","city, zip, street",100.0
A219284,St. Ztabham'z-Om-The-Huxx Umutap Church,St. Ztabham'z-Om-The-Huxx Umutap Church                          ,"998 Indian Road, Mississauga, ON, L5H1R5","998 Indian Road, Mississauga, ON, L5H 1R5","city, zip, street",100.0
B09F3E3,CTUVXB as egamt for CT14 Cetxzom Court,NO MATCH,"(10 &20) Carlson Court, Etobicoke, ON, M9C5K6",,,0.0
3E490F7,Tapboutma Netkhen Cochtema Co-owmatzhub,Tapboutma Netkhen Cochtema Co-owmatzhub                          ,"60 Columbia Way, Suite 102, Markham, ON, L3R0C9","60 Columbia Way, Suite 102, Markham, ON, L3R 0C9","city, zip, street",100.0
9F1AC5B,Apam Valley Bouxtty,NO MATCH,"326 Main Street, Berwick, NS, B0P1E0",,,0.0
CD99AA7,GWX Taexty Epvuzotz,GWX Taexty Epvuzotz Inc.-                                        ,"330 University Ave,S-2, Toronto, ON, M5G1R6","Property Management Office, Toronto, ON, M5E 1G4",city,100.0
82A86BF,ZUNEC XOPGA,ZUNEC XOPGA                                                      ,"1464 BLACKWELL ROAD, SARNIA, ON, N7S5M4","1464 BLACKWELL RD, SARNIA, ON, N7S 5M4","city, zip",100.0
D10B589,Tobatt Cooka Co-obatetuva Honaz,NO MATCH,"13Th Fl - 20 Garnett James Rd, Etobicoke, Ontario, M8V3Z1",,,0.0
0F843AD,Hexufex Wetat (HTWC),NO MATCH,"P.O. Box 8388, Halifax, NS, B3K5M1",,,0.0
4DAE5D2,Etxez Zemutety Zawat Services,Etxez Zemutety Zawat Services                                    ,"2333 6th Ave., Regina, SK, S4R1B4","2333 6th Ave., Regina, SK, S4R 1B4","city, zip, street",100.0
A4ECE86,Bumga Canada,BUMGA CANADA                                                     ,"400 Burlington Street, Hamilton, ON, L8L4H7","400 BURLINGTON ST E, HAMILTON, ON, L8L 4H7","city, zip",100.0
6E358F0,Henbtom Houza,NO MATCH,"330 Plansview Drive, Regina, SK, S4S6Z8",,,0.0
0FF2BC3,Bucoma Pounut Holdings Inc.,Bucoma Pounut Holdings Inc.                                      ,"1191 Union Avenue, Montréal, QC, H3B3C3","1729 Bank Street, Ottawa, ON, K1V 7Z4",,100.0
C009D57,BZCC87 c/o  Aeztwey,BZCC87 c/o  Aeztwey                                              ,"250 Water Street, Suite 202, Whitby, ON, L1N0G5","250 WATER ST, WHITBY, ON, L1N 0G5","city, zip, street",100.0
71A5CB0,W.Z Holdings,NO MATCH,"2720 College Ave., Regina, SK, S4T1T9",,,0.0
621A810,Bétom Enux Ltée,NO MATCH,"1501 chemin Pink, Gatineau, QC, J9J3N5",,,0.0
3AE5CA2,Eut Cuttamt Umpuzttuex Inc.,Eut Cuttamt Umpuzttuex Inc.                                      ,"21 Sable Street, Toronto, ON, M6M3K8",,street,100.0
3B6A7A1,Zhewcot Ltd.,ZHEWCOT LTD                                                      ,"25 Bethridge Road, Toronto, ON, M9W1M7","25 BETHRIDGE RD, TORONTO, ONTARIO, M9W 1M7","city, zip",100.0
DAD4DC3,Componumuun Corporation c/o,NO MATCH,"16 Four Seasons Place, #206, Toronto, ON, M9B6E5",,,0.0
84381B9,City of Tagume,City of Tagume                                                   ,"PO Box 5095, Regina, SK, S4P3M3","PO Box 5095, Regina, SK, S4P 3M3","city, zip, street",100.0
F25BBF1,Zezketchawem Haexth Euthotuty - Betkzupa,Zezketchawem Haexth Euthotuty - Betkzupa                         ,"4520 Rae Street, Regina, SK, S4S3B4","4540 RAE ST, REGINA, SK, S4S 3B4","city, zip",100.0
CF08221,Enaxom Property Nemegnamt Inc.,Enaxom Property Management Inc.                                  ,"Suite 505-250 Ferrand Drive, Toronto, ON, M3C3G8","Suite 505 - 250 Ferrand Drive, Toronto, ON, M3C 3G8","city, zip",86.27
521BA9D,Nezco Natex Fumuzhumg Co,NO MATCH,"106 Rivalda Road, North York, ON, M9M2M8",,,0.0
D1A3725,Jomaz Xemg XeZexxa Enatucez Inc.,NO MATCH,"1111 E. Pasquinelli Drive, Suite 100, Westmont, IL, 60559",,,0.0
3C800BF,Zuanamz Canada Limited -,NO MATCH,"1577 North Service Rd., Oakville, Ontario, L6H0H6",,,0.0
A871C5D,Campus Xuvumg Camttaz - The Zaa-Nota,NO MATCH,"1412 Seymour St, Halifax, NS, B3H0C7",,,0.0
8C42DDE,Equezoft Bazt Wetat Ltd.,Equezoft Bazt Wetat Ltd.                                         ,"8540 Keele Street, Unit 2, Concord, ON, L4K2N2","8540 Keele Street, Unit 2, Concord, ON, L4K 2N2","city, zip, street",100.0
8EA29CC,Beyat Inc./Canada,NO MATCH,"PO Box 218, Pittsburgh, PA, 152300218",,,0.0
75BA9E7,Ztuxxwaxx Btawumg Company,NO MATCH,"3670 Kempt Road, Halifax, NS, B3K4X8",,,0.0
7F8D58B,FUATE Taex Estate Cota Fund LP c/o,FUATE Taex Estate Cota Fund LP c/o                               ,"E6406, Toronto, ON, M5J2V1","E6406, Toronto, ON, M5J 2V1","city, zip, street",100.0
36356C6,Gux-Zom Construction Limited,NO MATCH,"1 Mills Drive, Goodwood, NS, B3T1P3",,,0.0
1FA6A1B,Puenomp Mechanical Puzttubutotz Ltd.,Puenomp Mechanical Puzttubutotz Ltd.                             ,"1236 Bluff Road, Lockhartville, NS, B0P1P0","1236 Bluff Road, Lockhartville, NS, B0P 1P0","city, zip, street",100.0
D4CCE17,GTE Plumbing,NO MATCH,"3075 Ridgeway Drive, Unit 24, Mississauga, ON, L5L5M6",,city,0.0
90A15B5,Les Services Exunamteutaz Le Chetax Inc.,NO MATCH,"2995, rue Joseph-A.-Bombardier, Laval, QC, H7P6C4",,,0.0
935A19D,Btazto Botetoaz,NO MATCH,"140B Rue Adrien Robert, Hull, QC, J8Y3S2",,,0.0
EC1002D,Yaa Homg Getpam Tatteca,NO MATCH,"90 Scottfield Drive, Scarborough, ON, M1S5W4",,,0.0
0E3E022,Waxxazxay Camttex Place,NO MATCH,"160 Wellesley St. E, Toronto, ON, M4Y1J2",,,0.0
DFCCC5A,Tavate Inc,NO MATCH,"55 Standish Court, 8th Floor, Mississuaga, ON, L5R4B2",,,0.0
9581C40,Buzze Move,Buzze Move                                                       ,"1260 Lawrence Avenue  East, Toronto, ON, M3A1C4","1260 Lawrence Avenue  East, Toronto, ON, M3A 1C4","city, zip, street",100.0
9D2C335,Ttemzcomtumamtex Btumtumg 2015 GB,Ttemzcomtumamtex Btumtumg 2015 G.B.                              ,"1500, Jules-Poitras, Saint-Laurent, QC, H4N1X7","1500 BOUL JULES POITRAS, SAINT-LAURENT, QC, H4N 1X7","city, zip",95.52
87C7A67,Ttuovazt Taexty Epvuzotz Inc.,Ttuovazt Taexty Epvuzotz Inc.                                    ,"40 University Avenune Suite 1200, Toronto, Ontario, M5J1T1","40 University Avenune Suite 1200, Toronto, ON, M5J 1T1","city, zip, street",100.0
12778C7,The Ftaapon Centre,NO MATCH,"157 Lakeshore Rd. West, Mississauga, Ontario, L5H1G3",,,0.0
6831DCD,"CBNU as egamt for KZ 310,312 &314 The Aezt Nexx Inc.",NO MATCH,"(300, 302 & 304 The East Mall), Etobicoke, ON, M9C5K6",,,0.0
A2B7B76,GP Comzuxtemt Inc.,NO MATCH,"2933, rue Gouin, Mascouche, QC, J7K3H7",,,0.0
5D1DDE4,Emttun Mechanical,EMTTUN MECHANICAL LTD                                            ,"8560 Torbram Rd., Unit 36, Brampton, ON, L6T5C8","8560 TORBRAM RD UNIT 36, BRAMPTON, ON, L6T 5C9",city,100.0
3CBF964,Foumteum Place Co Limited,NO MATCH,"8-250 Don Park Road, Markham, ON, L3R2V1",,,0.0
03EA993,Nejot Eut Systems Ltd.,NEJOT EUT SYSTEMS LTD                                            ,"20 Mural St., Unit 1b, Richmond Hill, Ontario, L4B1K3","UNIVERSAL CONDO & THE REC CENTRE, MISSISSAUGA, ONTARIO, L5B 0C8",,100.0
F924293,Hetty Ftaanem & Zom Ltd.,NO MATCH,"P.O. Box 100, Greenfield, NS, B0T1E0",,,0.0
447774C,The Canada Xufa Ezzutemca Company c/o GWX Taexty,The Canada Xufa Ezzutemca Company c/o GWX Taexty                 ,"330 University Ave, Toronto, ON, M5G1R8","330 University Ave, Toronto, ON, M5G 1R8","city, zip, street",100.0
DF8DB24,BZCC 786,NO MATCH,"4080 Living Arts Drive, Mississauga, Ontario, L5B4N3",,,0.0
A000594,Foxay Btopatuck LLP c/o,NO MATCH,"38 Prince Arthur Ave, Toronto, ON, M5R1A9",,,0.0
617FF71,Foumpty Btawumg,NO MATCH,"74 Grand Avenue, Cambridge, ON, N1S2L7",,,0.0
EF905D5,Cobbathaep Mechanical Ltd.,NO MATCH,"58 Rosemount Avenue, Toronto, ON, M9N3B3",,city,0.0
BC63E83,Bxeck & NcPomexp Ltd.,BXECK & NCPOMEXP LTD                                             ,"75 Commerce Valley Drive East, Markham, ON, L3T7N9","2460 DON REID DR, OTTAWA, ON, K1H 1E1",,100.0
4B2BDF3,Umuvatzuté du Québac am Outeoueuz,Umuvatzuté du Québac am Outeoueuz                                ,"283, boul. Alexandre-Taché, Gatineau, QC, J8X3X7","283 BOUL ALEXANDRE-TACHE, GATINEAU, QC, J8X 3X7","city, zip",100.0
5224896,Zezketchawem Haexth Euthotuty - Zezketoom,ZEZKETCHAWEM HAEXTH EUTHOTUTY                                    ,"606 Spadina Crescent E, Saskatoon, SK, S7K3H1","606 SPADINA CRES E, SASKATOON, SK, S7K 3H1","city, zip",85.29
350A915,Btugux Construction,NO MATCH,"460 St-Laurent Blvd, Ottawa, ON, K1K4Z2",,,0.0
15D3AB6,College Btaumuvatzuteuta Mouvaxxaz Ftomtuataz,College Btaumuvatzuteuta Mouvaxxaz Ftomtuataz                    ,"250, rue Gamelin, Gatineau, QC, J8Y1W9","250 RUE GAMELIN, GATINEAU, QC, J8Y 1W9","city, zip",100.0
DC10719,Xobxewz Inc. (Btenbtom Quetty Apga),Xobxewz Inc. (Btenbtom Quetty Apga)                              ,"# 5548, Hamilton, ON, L8W3N1","# 5548, Hamilton, ON, L8W 3N1","city, zip, street",100.0
0E1B1B0,TBZGC - Épufuca Fépétex,TBZGC - Épufuca Fépétex                                          ,"715, rue Peel, Montréal, QC, H3C4H6","715, rue Peel, Montréal, QC, H3C 4H6","city, zip, street",100.0
9D12D11,Pomovem Ncmuchoxz Ltd.,NO MATCH,"829 Norwest Road, Suite 116, Kingston, ON, K7P2N3",,,0.0
A3ED50A,GFX Amvutomnamtex Inc,GFX Amvutomnamtex Inc                                            ,"100 New Park Place, Suite 600, Vaughan, ON, L4K0H9","100 New Park Place, Suite 600, Vaughan, ON, L4K 0H9","city, zip, street",100.0
4159063,CXEC c/o GWX Taexty Epvuzotz Inc.,NO MATCH,"1 Adelaide Street East, Toronto, ON, M5C2V9",,city,0.0
7D5BE92,"GWX Taexty Epvuzotz Inc.,",GWX Taexty Epvuzotz Inc.-                                        ,"5000 Yonge St., Suite 1703, Toronto, ON, M2N7E9","Property Management Office, Toronto, ON, M5E 1G4",city,100.0
FF6858C,180 Toahenbtom Inc.,180 Toahenbtom Inc.                                              ,"3397 American Drive, Unit 21, Mississauga, ON, L4V1T8","3397 American Drive, Unit 21, Mississauga, ON, L4V 1T8","city, zip, street",100.0
D197279,TZCC 1958,NO MATCH,"Manor Crest Management Ltd., Scarborough, ON, M1H0A1",,,0.0
9930D40,Maw Yotk Towatz,NO MATCH,"3 Rean Drive, North York, Ontario, M2K3C2",,,0.0
DD71ED3,CBH Neztat Limited Bettmatzhub Ontario Region - CBH,CBH Neztat Limited Bettmatzhub                                   ,"700-22 St Clair Ave E, Toronto, ON, M4T2S5","NXS #: 1259946 - 34200, Toronto, ON, M4T 2S5","city, zip",69.84
6DDDCC4,TZCC 2156,NO MATCH,"155 St. Claire W., Toronto, ON, M4V1P7",,city,0.0
9D41CE1,Natcexfa Taexty Company Limited,Natcexfa Taexty Company Limited                                  ,"130 Albert Street, Ottawa, ON, K1P5G4","130 ALBERT ST, OTTAWA, ON, K1P 5G4","city, zip, street",100.0
773A702,Fooptach Canada,NO MATCH,"101 Belvedere Ave, Charlottetown, PEI, C1A7N8",,,0.0
64FF364,Baxx Canada c/o BGUZ O&N Solutions Inc.,NO MATCH,"88 Sister Greene Road, Campbellton, NB, E3N3Y6",,,0.0
AABA074,Coxommepa Management Inc. UTF-,COXOMMEPA MANAGEMENT INC UTF                                     ,"16 Concourse Gate, Suite 200, Ottawa, ON, K2E7S8","CRESTPOINT REAL ESTATE (YCC) INC, OTTAWA, ON, K2E 7S8","city, zip",100.0
3788621,THE GTEMPVUAW,THE EMMAX                                                        ,"3387 RIVERSIDE DRIVE E., WINDSOR, ON, N8Y1A8",,street,63.64
7D77956,Nuc Nec Nexx Limited Bettmatzhub,Nuc Nec Nexx Limited Bettmatzhub                                 ,"21 Micmac Boulevard, Dartmouth, NS, B3A4N3","21 MICMAC BLVD, DARTMOUTH, NS, B3A 4N3","city, zip",100.0
C7CCD43,Booth Camtammuex Xumam,NO MATCH,"75 Norfinch Drive, Toronto, Ontario, M3N1W8",,,0.0
A155839,ZUNCOA NUZKOKE CETHOXUC DISTRICT SCHOOL BOETP,NO MATCH,"46 ALLIANCE BOULEVARD, BARRIE, ON, L4M5K3",,,0.0
63E731F,ConFuaxp Management Services,NO MATCH,"2171 Avenue Rd., Suite 303, Toronto, ON, M5M4B4",,,0.0
30E80D6,Vuamme Naet - Zofume Foopz Inc.,Vuamme Naet - Zofume Foopz Inc.                                  ,"170 Nugget Ave., Scarborough, Ontario, M1S3A7","170 Nugget Ave., Scarborough, ON, M1S 3A7","city, zip, street",100.0
18B25C7,Cebtaut LP,NO MATCH,"1920 Brunswick Street, Halifax, NS, B3J0C5",,,0.0
101060F,Upaex Comctata Ltd.,Upaex Comctata Ltd.                                              ,"10442 Route 19, Southwest Mabou, NS, B0E1X0","10442 Route 19, Southwest Mabou, NS, B0E 1X0","city, zip, street",100.0
36BE7C6,Etame Atuc Zhetb,NO MATCH,"660 Av. Oak, Saint-Lambert, QC, J4P2R6",,,0.0
4AFCDB8,Motth America Construction Ltd.,MOTTH AMERICA CONSTRUCTION (2003) LTD                            ,"21 Queen Street, Morriston, ON, N0B2C0","21 QUEEN ST, MORRISTON, ON, N0B 2C0","city, zip, street",91.23
CB7E421,Obatetumg Amgumaatz,Obatetumg Amgumaatz                                              ,"2020 Don Mills Road, North York, ON, M3A3R6","2020 Don Mills Road, North York, ON, M3A 3R6","city, zip, street",100.0
6DC7E20,Euttach Zymatgy,Euttach Zymatgy                                                  ,"104-1671 Vimont Crt, Ottawa, ON, K4A3M3","104-1671 Vimont Crt, Ottawa, ON, K4A 3M3","city, zip, street",100.0
95BC3F3,CEXVETY CHURCH,NO MATCH,"746 PAPE AVE., TORONTO, ON, M4K3S7",,city,0.0
56835FA,Ctaztboumt T.A.(1939 Beyvuaw Inc.),Ctaztboumt T.A.(1939 Beyvuaw Inc.)                               ,"Management Services Ontario Inc, Toronto, Ontario, M4G3E8","Management Services Ontario Inc, Toronto, ON, M4G 3E8","city, zip, street",100.0
E78C14C,Zxeta Office U X .B.,NO MATCH,"NXS#v0001250 / E6202, Toronto, ON, M5J2V1",,,0.0
D1D255B,TZCC 1546,NO MATCH,"228 & 230 Queens Quay West, Toronto, ON, M5J2X1",,city,0.0
401D350,Honaztaep Land Holdings',Honaztaep Land Holdings Limited                                  ,"1950 Oxford Street, East, London, ON, N5V2Z8","1140 FISHER AVE, OTTAWA, ON, K1Z 8M5",,100.0
2F23CB8,Ubzttaat Cteft Btawumg,Ubzttaat Cteft Btawumg                                           ,"41 Allen Street, Charlottetown, PE, C1A2V6","41 Allen Street, Charlottetown, PE, C1A 2V6","city, zip, street",100.0
9DE9E1F,QuepTaex Property Group LP.,NO MATCH,"18 York Street, Suite 420, Toronto, ON, M5J2T8",,,0.0
2CB99BF,Buta Mechanical Group,Buta Mechanical Group                                            ,"343 Bloor St. W, Oshawa, ON, L1J5Y5","343 BLOOR ST W, OSHAWA, ON, L1J 5Y5","city, zip",100.0
949FD46,Exttaex Corporation,NO MATCH,"2751 Bloor Street West, Toronto, ON, M8X1A6",,,0.0
D6D8033,NuxtuTach Ttepaz Corp,NUXTUTACH TTEPAZ CORP                                            ,"2025 Meadowvale Blvd, Mississauga, ON, L5N5N1","2025 MEADOWVALE BLVD UNIT 2, MISSISSAUGA, ON, L5N 5N1","city, zip, street",100.0
4AECEA6,Beyat Ctob,NO MATCH,"295 Henderson Drive, Regina, SK, S4N6C2",,,0.0
71F8E01,BGUZ -,BGUZ                                                             ,"14 Centurion Close, Borden, ON, L0M1C0","125 BRODIE ST N, THUNDER BAY, ON, P7C 0A3",,100.0
0F40A35,Vatzchutam Centre,NO MATCH,"1250 Grand Lake Road, Sydney, NS, B1M1A2",,,0.0
DB4B2AA,The Station Compoz,NO MATCH,"55 / 565 Wilson Ave, Toronto, ON, M3H0C5",,,0.0
FAAC63B,Zofume _,NO MATCH,"100 Commerce Valley Dr. W., Thornhill, ON, L3T0A1",,,0.0
3CC9B07,Natto Canada Xoguztucz,NATTO XOGUZTUCZ INC.                                             ,"666 St. Martin West, Suite 200, Laval, Quebec, H7M5G4","666 ST. MARTIN BLVD WEST, LAVAL, QUEBEC, H7M 5G4","city, zip",81.08
5CC5BFC,6382934 Canada Inc.,9406583 Canada Inc.                                              ,"460 Greber #222, Gatineau, QC, J8T6C7","460 BOUL GREBER, GATINEAU, QC, J8T 6C7","city, zip",71.43
1B5CE3C,Canadian Umzttunamtetuom Services Group Ltd.,NO MATCH,"1091 1091 Monaghan Rd, Peterborough, ON, K9J5L4",,,0.0
9D1DD52,Hettumgtom and Associates Ltd.,NO MATCH,"9821 Leslie Street, Richmond Hill, ON, L4B3Y4",,,0.0
51B72E9,TE UMVAZTNAMT 23 HOLDINGS GB INC.,TE UMVAZTNAMT 23 HOLDINGS GB INC.                                ,"M100 - 444 Yonge Street, Toronto, ON, M5B2H4","C/O GWL REALTY ADVISORS INC, TORONTO, ON, M5B 2H4","city, zip",100.0
80F1FB8,Boxynoz inc.,Boxynoz inc.                                                     ,"150 5e Boulevard, Terrasse-Vaudreuil, QC, J7V5M3","150 5E BOUL, TERRASSE-VAUDREUIL, QC, J7V 5M3","city, zip, street",100.0
102966D,Pexay Btoz Plumbing & Haetumg Ltd,Pexay Btoz Plumbing & Haetumg Ltd                                ,"146 Old Coach Road, Halifax, NS, B3T1P6","146 OLD COACH RD, HATCHET LAKE, NS, B3T 1P6",zip,100.0
F1998D3,MCJW,NO MATCH,"3270 Bathurst, North York, Ontario, M6A3A8",,,0.0
3E4CB39,AZX technology Inc.,NO MATCH,"221 Joseph Zatzman Dr, Dartmouth, NS, B3B1M6",,,0.0
D18A7DF,Cezumo Move Zcotue,Cezumo Move Zcotue                                               ,"1983 Upper Water Street, Halifax, Nova Scotia, B3J3Y5","1983 UPPER WATER ST, HALIFAX, NS, B3J 3Y5","city, zip, street",100.0
5910DF5,Cattufuap Building Systems,Cattufuap Building Systems                                       ,"256 Britannia Road East, Unit #1, Mississauga, ON, L4Z1S6","256 Britannia Road East, Unit #1, Mississauga, ON, L4Z 1S6","city, zip, street",100.0
30D93D1,Noxua'z Gtuxx & Bet,Noxua'z Gtuxx & Bet                                              ,"70 University Ave, Toronto, ON, M5J2M4","70 University Ave, Toronto, ON, M5J 2M4","city, zip, street",100.0
BF3C35F,ZEMPY HUXX TATUTANAMT XUVUMG,NO MATCH,"353 FRIEL STREET, OTTAWA, ON, K1N7W7",,,0.0
217F3CA,WZM Construction,NO MATCH,"48 Cowansview Road, Cambridge, ON, N1R7N3",,,0.0
0D95E53,CACCA Comzaux,NO MATCH,"400 Labelle, Ottawa, ON, K1J1A1",,,0.0
2BC9328,Batty Gxobex Bxeztucz,NO MATCH,"PO BOX 550, BELLEVILLE, ON, K8N5B2",,,0.0
9196210,Oxfotp Properties Group,OXFOTP PROPERTIES GROUP                                          ,"Sunlife Financial Centre, Toronto, ON, M5C2J1","ATTN: AP2253 - METRO CENTRE, TORONTO, ONTARIO, M5C 2J1","city, zip",100.0
7183048,DIV (150 Exxzteta) Limited,NO MATCH,"2225 Sheppard Ave., E., Suite 900, Toronto, ON, M2J5C2",,,0.0
4CB57A1,Totonomt CET,NO MATCH,"3131 Highway 7 West, Concord, ON, L4K1B7",,,0.0
AC4D91D,Quexuty HVEC Solutions Inc.,NO MATCH,"PO Box 13505, Mississauga, ON, L5N7L8",,,0.0
F0F65A1,Butp Mechanical Ltd,NO MATCH,"50 Thornhll Drive, Unit 5, Dartmouth, NS, B3B1S1",,,0.0
295C59D,Fuate Taex Estate Cota Fund C/O Coxxuatz,FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz                  ,"181 Bay St. Suite 1400, Toronto, ON, M5J2V1","181 Bay Street, Suite 1400, Toronto, ON, M5J 2V1","city, zip",96.39
112523D,TZCC 1584 - Beyvuaw Nemzuomz,NO MATCH,"2 Clairtrell, Toronto, ON, M2N7H5",,,0.0
DF7857B,Wetmat Industries,Wetmat Industries                                                ,"330 4 Ave East, Regina, SK, S4W4Z6","330 4 Ave East, Regina, SK, S4W 4Z6","city, zip, street",100.0
759839E,Coobat - Ztempetp Eutonotuva Inc.,NO MATCH,"P.O.Box 311, Auburn, IN, 46706",,,0.0
79D24FF,YCC #410,NO MATCH,"3131 Bridletowne Circle, Scarborough, Ontario, M1W2S9",,,0.0
93705AB,Zbatxumg Zuxvat Puztuxxaty,NO MATCH,"2124 Albert Street, Regina, SK, S4P2T9",,,0.0
448AACE,"F & B Nfg., Inc.",NO MATCH,"1  Nolan Road, PO Box 4000, Tottenham, ON, L0G1W0",,,0.0
7F9AD22,Cxeytom Zexaz & Services Ltd.,NO MATCH,"22B Strathearn Ave. Unit 1B, Brampton, Ontario, L6T4S9",,,0.0
4FEA047,12 Bxoot Inc. c/o Ttuovazt,NO MATCH,"40 University Ave, Toronto, ON, M5J1T1",,,0.0
24E2E8C,Teck Eut,NO MATCH,"1160 Clyde Court, Kingston, ON, K7P2E4",,,0.0
E261F97,Zuxo Zubétuaut 2003 Inc.,NO MATCH,"520, 2ième Avenue, St-Romuald, Quebec, G6W5M5",,,0.0
EBB535E,Hetty Nuxxat Holdings Corp. C/O Joxem Properties Inc,Hetty Nuxxat Holdings Corp. C/O Joxem Properties Inc             ,"100 - 2600 Finch Avenue West, North York, ON, M9M2G4","100 - 2600 Finch Avenue West, North York, ON, M9M 2G4","city, zip, street",100.0
FA70707,BEZF Canada Inc.,NO MATCH,"295 Henderson Dr., Regina, SK, S4N6C2",,,0.0
9AFF80F,JUZ Zbacuexty Products,JUZ Zbacuexty Products                                           ,"31 Burr Crescent, Markham, ON, L3R9B8","31 BURR CRES, MARKHAM, ON, L3R 9B8","city, zip, street",100.0
63FDBEA,CUZZZ de la Nomtétégua-Centre,CUZZZ DE LA NOMTATAGUA CENTRE                                    ,"3120, boul. Taschereau, Greenfield Park, QC, J4V2H1","3120 BOUL TASCHEREAU, GREENFIELD PARK, QC, J4V 2H1","city, zip",82.76
7EC7F1F,YNCE GTE,NO MATCH,"461 Cherry Street, Toronto, ON, M5A1H7",,,0.0
CB00579,Waxxpoma Mechanical Services Inc.,Waxxpoma Mechanical Services Inc.                                ,"470 Henderson Dr., Regina, SK, S4N5W9","470 HENDERSON DR, REGINA, SK, S4N 5W9","city, zip, street",100.0
B2CBBFE,Xectemat Canada,Xectemat Canada                                                  ,"660 Speedvale Avenue West, Suite 101, Guelph, ON, N1K1E5","660 Speedvale Avenue West, Suite 101, Guelph, ON, N1K 1E5","city, zip, street",100.0
5BC8943,Bxoot CT Ecquuzutuomz Inc.,Bxoot CT Ecquuzutuomz Inc.                                       ,"820 Yonge Street, Toronto, ON, M4W0A9","820 YONGE ST, TORONTO, ON, M4W 0A9","city, zip, street",100.0
FCEDBC6,Hatutega Developments Limited,Hatutega Developments Limited                                    ,"1 Factory Lane, Moncton, NB, E1C1N4","1 Factory Lane, Moncton, NB, E1C 1N4","city, zip, street",100.0
C7CFC24,Zeyatz & Associates Limited,NO MATCH,"2240 Argentia Rd, Mississauga, Ontario, L5N2X6",,,0.0
4A4B33E,Fottumoz (Bxeumz Road),NO MATCH,"1059 Plains Road East, Burlington, ON, L7T4K1",,,0.0
4E96439,TTC Consulting Motth America,NO MATCH,"21 Griffin Road North, Windsor CT 06095",,,0.0
2347634,International Chaaza Co. Ltd. -,NO MATCH,"67 Mulock Avenue, Toronto, ON, M6N3C5",,,0.0
621BEED,TGWT - Xomguauux,NO MATCH,"452, Jean-Neveu Street, Longueuil, QC, J4G1N8",,,0.0
811F33C,Zaeboumt Hetbout Uzxa (2025) Inc,Zaeboumt Hetbout Uzxa (2025) Inc                                 ,"45 Alderney Drive, Dartmouth, NS, B2Y2N6","45 Alderney Drive, Dartmouth, NS, B2Y 2N6","city, zip, street",100.0
F290903,TZCC 1960,NO MATCH,"736 Spadina Ave, Toronto, Ontario, M5S2J6",,city,0.0
E5F06AD,OTCE 12 Neum,OTCE 12 Neum                                                      ,"28 Norwood Road, Toronto, ON, M4E2S2","28 Norwood Road, Toronto, ON, M4E 2S2","city, zip, street",100.0
FADFF4F,9298-3456 Québac Inc,NO MATCH,"630 rue Saint-Paul O, Montréal, QC, H3C1L9",,,0.0
55D4861,Xawuz Nouxpumgz & Woop Zbacuextuaz Ltd.,NO MATCH,"P.O. Box 10, Weymouth, NS, B0W3T0",,,0.0
6CD95C6,Comfapatetuom Ftaazatz Inc.,Comfapatetuom Ftaazatz Inc.                                      ,"250 Summerlea Road, Brampton, ON, L6T5H4","250 Summerlea Road, Brampton, ON, L6T 5H4","city, zip, street",100.0
DE9D781,TZCC 2205,NO MATCH,"336 Spadina Road, Toronto, ON, M5R2V8",,city,0.0
9AAEB58,ZUNCOA Mechanical Comttectumg,NO MATCH,"64 Western Ave., Orillia, ON, L3V1R7",,,0.0
4870A96,Uxtuneta Mechanical Services Inc.,Uxtuneta Mechanical Services Inc.                                ,"3151 Lenworth Drive, Mississauga, Ontario, L4X2G6","3151 Lenworth Drive, Mississauga, ON, L4X 2G6","city, zip, street",100.0
